doorcardID,username,doorcardname,doorstartdate,doorenddate,doorterm,college,_reject_reason
13906,simmers,Spring 14,01/13/14 00:00:00,05/15/14 00:00:00,201403,Canada,User not found for username: simmers
9763,gangels,Professor Gangel,08/17/11 00:00:00,12/17/11 00:00:00,201108,Canada,User not found for username: gangels
9765,Bratton,Glory Bratton,08/22/11 00:00:00,12/13/11 00:00:00,201108,Canada,User not found for username: Bratton
13994,gangels,Professor Gangel,01/13/14 00:00:00,05/25/14 00:00:00,201403,Canada,User not found for username: gangels
14509,Biagi,Cosmetology Biagi,06/16/14 00:00:00,07/10/14 00:00:00,201405,Skyline,User not found for username: Biagi
14679,simmers,SimmersFall14,,,201408,Skyline,User not found for username: simmers
16729,breadmontl,Door Card Name,,,201405,Canada,User not found for username: breadmontl
16881,simmers,KRS SPRING  16,01/20/16 00:00:00,05/27/16 00:00:00,201603,Skyline,User not found for username: simmers
14855,ropec,Fall 2014,08/14/14 00:00:00,05/14/14 00:00:00,201405,Canada,User not found for username: ropec
16730,breadmontl,Linda Breadmont,08/17/15 00:00:00,12/18/15 00:00:00,201508,Skyline,User not found for username: breadmontl
14960,anttilasuarezc,Fall 2014 Anttila-Suarez,08/18/14 00:00:00,12/20/14 00:00:00,201408,Skyline,User not found for username: anttilasuarezc
15144,CORZONKOFFB,FALL 14 CORZONKOFF,08/18/14 00:00:00,12/12/14 00:00:00,201408,Skyline,User not found for username: CORZONKOFFB
15307,anttilasuarezc,Spring 2015,01/19/15 00:00:00,06/01/15 00:00:00,201508,Skyline,User not found for username: anttilasuarezc
15353,simmers,15Spring,01/22/15 00:00:00,05/21/15 00:00:00,201503,Skyline,User not found for username: simmers
15431,SUERM,SPRING2015,01/25/15 00:00:00,06/01/15 00:00:00,201503,Skyline,User not found for username: SUERM
15613,ropec,Spring 2015,01/22/15 00:00:00,05/22/15 00:00:00,201503,CSM,User not found for username: ropec
23767,anttilasuarezc,Anttila - Fall 2021,08/17/21 00:00:00,12/20/21 00:00:00,202108,Skyline,User not found for username: anttilasuarezc
15815,Cressonl,Spring 2015,01/20/15 00:00:00,05/30/15 00:00:00,201503,Skyline,User not found for username: Cressonl
15822,Schaefersk,Schaefers Spring 2015,01/15/15 00:00:00,05/22/15 00:00:00,201503,Skyline,User not found for username: Schaefersk
15983,simmers,15Summer,06/15/15 00:00:00,06/23/15 00:00:00,201505,Skyline,User not found for username: simmers
17700,ropec,Fall 2016,08/17/16 00:00:00,12/09/16 00:00:00,201608,CSM,User not found for username: ropec
20369,ropec,Fall 2018,08/15/18 00:00:00,12/10/18 00:00:00,201808,CSM,User not found for username: ropec
16209,simmers,,08/17/15 00:00:00,12/10/15 00:00:00,201508,Skyline,User not found for username: simmers
16210,simmers,simmersF15,08/17/15 00:00:00,12/10/15 00:00:00,201508,Skyline,User not found for username: simmers
16251,gangels,Prof GANGEL,08/17/15 00:00:00,12/17/15 00:00:00,201508,Canada,User not found for username: gangels
16341,ropec,Fall 2015,08/17/15 00:00:00,12/11/15 00:00:00,201508,CSM,User not found for username: ropec
16351,anttilasuarezc,Door Card F15,01/17/15 00:00:00,05/25/15 00:00:00,201508,Skyline,User not found for username: anttilasuarezc
23946,Mengq,ASL100,01/18/22 00:00:00,05/19/22 00:00:00,202203,Skyline,User not found for username: Mengq
16586,DowlingC,Fall 2015,08/17/15 00:00:00,12/20/15 00:00:00,201508,CSM,User not found for username: DowlingC
16838,Broxholm,Spring 2016,01/20/16 00:00:00,05/27/16 00:00:00,201603,Skyline,User not found for username: Broxholm
17896,anttilasuarezc,Fall 2016,08/16/16 00:00:00,12/24/16 00:00:00,201608,Skyline,User not found for username: anttilasuarezc
16900,Boosalisolerm,Spring 2016,01/20/16 00:00:00,01/23/16 00:00:00,201603,CSM,User not found for username: Boosalisolerm
16979,ropec,Spring 2016,01/20/16 00:00:00,05/20/16 00:00:00,201603,CSM,User not found for username: ropec
17184,anttilasuarezc,Door Card Sp16,01/20/16 00:00:00,05/30/16 00:00:00,201508,Skyline,User not found for username: anttilasuarezc
17472,breadmontl,Surg 448,06/13/16 00:00:00,08/11/16 00:00:00,201405,Skyline,User not found for username: breadmontl
17675,simmers,Simmers FALL 16,08/17/16 00:00:00,12/17/16 00:00:00,201608,Skyline,User not found for username: simmers
17830,gangels,GANGEL,08/17/16 00:00:00,05/30/16 00:00:00,201608,Canada,User not found for username: gangels
18110,dronkersm,MARCELLE DRONKERS ,01/15/17 00:00:00,05/26/17 00:00:00,201703,CSM,User not found for username: dronkersm
18130,McDonnellp,McDonnellFall2016,08/22/16 00:00:00,12/15/16 00:00:00,201508,Skyline,User not found for username: McDonnellp
18353,ropec,Spring 2017,01/18/17 00:00:00,05/19/17 00:00:00,201703,CSM,User not found for username: ropec
18374,anttilasuarezc,Door Card Sp17,01/17/17 00:00:00,05/27/17 00:00:00,201703,Skyline,User not found for username: anttilasuarezc
18387,simmers,KRS SPRING ,01/17/17 00:00:00,05/18/17 00:00:00,201703,Skyline,User not found for username: simmers
18684,claired,ACTG 121 SPR 17,01/17/17 00:00:00,05/23/17 00:00:00,201703,Skyline,User not found for username: claired
18720,gangels,Professor Gangel,01/30/17 00:00:00,05/30/17 00:00:00,201703,Canada,User not found for username: gangels
18946,simmers,KSSUMR2017,06/12/17 00:00:00,07/20/17 00:00:00,201705,Skyline,User not found for username: simmers
19028,HIRZEL,F17,08/16/17 00:00:00,12/14/17 00:00:00,201708,Canada,User not found for username: HIRZEL
19065,ropec,Fall 2017,08/16/17 00:00:00,12/08/17 00:00:00,201708,CSM,User not found for username: ropec
19068,simmers,KRSFALL2017,08/16/17 00:00:00,12/16/17 00:00:00,201708,Skyline,User not found for username: simmers
23947,Mengq,Spring2022,01/18/22 00:00:00,05/19/22 00:00:00,202203,Skyline,User not found for username: Mengq
19196,anttilasuarezc,Fall 2017,08/15/17 00:00:00,12/16/17 00:00:00,201708,Skyline,User not found for username: anttilasuarezc
19439,Mullanem,Door Card Name,08/16/17 00:00:00,12/08/17 00:00:00,201708,CSM,User not found for username: Mullanem
19444,Medinaj,Fall 2017,08/16/17 00:00:00,12/15/17 00:00:00,201708,Canada,User not found for username: Medinaj
19475,gangels,Gangel,08/16/17 00:00:00,05/30/17 00:00:00,201708,Canada,User not found for username: gangels
19649,simmers,KRS*SIMMERS,01/16/18 00:00:00,05/17/18 00:00:00,201803,Skyline,User not found for username: simmers
19821,anttilasuarezc,CARINA Anttila-Suarez Sp18,01/14/18 00:00:00,05/25/18 00:00:00,201803,Skyline,User not found for username: anttilasuarezc
19848,ropec,Spring 2018,01/17/18 00:00:00,05/18/18 00:00:00,201803,CSM,User not found for username: ropec
20000,gangels,Door Card Name,01/30/18 00:00:00,05/30/18 00:00:00,201803,Canada,User not found for username: gangels
20001,gangels,prof gangel sp 18,01/30/18 00:00:00,05/30/18 00:00:00,201803,Canada,User not found for username: gangels
20086,Stanfordm,Spring 2018,01/16/18 00:00:00,05/30/18 00:00:00,201803,Canada,User not found for username: Stanfordm
20092,claired,Spring 2018,01/16/18 00:00:00,05/25/18 00:00:00,201803,Canada,User not found for username: claired
21199,gangels,GANGEL,01/10/19 00:00:00,05/30/19 00:00:00,201903,Canada,User not found for username: gangels
20212,Momenik,Summer 2018,05/11/18 00:00:00,06/26/18 00:00:00,201805,Skyline,User not found for username: Momenik
20224,simmers,SummerKRS18,06/12/18 00:00:00,06/19/18 00:00:00,201805,Skyline,User not found for username: simmers
20263,gangels,gangel summer 18,06/11/18 00:00:00,06/21/18 00:00:00,201805,Canada,User not found for username: gangels
20331,simmers,FALL-18-SKY,08/15/18 00:00:00,12/17/18 00:00:00,201808,Skyline,User not found for username: simmers
22821,Broxholm,Door Card Name,08/19/20 00:00:00,12/17/20 00:00:00,202008,Skyline,User not found for username: Broxholm
24150,claired,Spring 2022,01/18/22 00:00:00,05/27/22 00:00:00,202203,CSM,User not found for username: claired
20351,KawamuraS,RPTH 410 2018,08/16/18 00:00:00,12/13/18 00:00:00,201808,Skyline,User not found for username: KawamuraS
